set_slug,set_name,category,subset,card_number,player_name,team_name
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,1,Rui Hachimura,Los Angeles Lakers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,2,Saddiq Bey,Washington Wizards
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,3,OG Anunoby,New York Knicks
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,4,Tyler Herro,Miami Heat
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,5,Deandre Ayton,Portland Trail Blazers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,6,Yang Hansen,Portland Trail Blazers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,7,Dylan Harper,San Antonio Spurs
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,8,Luka Dončić,Los Angeles Lakers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,9,Joel Embiid,Philadelphia 76ers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,10,Pascal Siakam,Indiana Pacers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,11,Myles Turner,Indiana Pacers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,12,Kam Jones,Indiana Pacers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,13,Jalen Suggs,Orlando Magic
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,14,Austin Reaves,Los Angeles Lakers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,15,Brandon Williams,Dallas Mavericks
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,16,Malik Beasley,Detroit Pistons
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,17,Koby Brea,Phoenix Suns
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,18,De'Aaron Fox,San Antonio Spurs
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,19,Jamir Watkins,Washington Wizards
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,20,Joan Beringer,Minnesota Timberwolves
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,21,Jalen Williams,Oklahoma City Thunder
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,22,Marcus Smart,Washington Wizards
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,23,Keldon Johnson,San Antonio Spurs
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,24,Alex Caruso,Oklahoma City Thunder
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,25,Kyrie Irving,Dallas Mavericks
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,26,Naz Reid,Minnesota Timberwolves
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,27,Max Strus,Cleveland Cavaliers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,28,Evan Mobley,Cleveland Cavaliers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,29,Nic Claxton,Brooklyn Nets
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,30,Victor Wembanyama,San Antonio Spurs
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,31,Ivica Zubac,Los Angeles Clippers
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,32,Alijah Martin,Toronto Raptors
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,33,AJ Green,Milwaukee Bucks
2025-26-topps-nba-hoops-basketball,2025-26 Topps NBA Hoops Basketball,Base,Base Set,34,Al Horford,Boston Celtics
